no,disclosure_date,security_code,security_name,kind,market_segment
337,202202031500,60390,Ｍ－日本動物高度医療,四半期,グロース（内国株式）
338,202202031500,58050,昭和電線ホールディングス株式会社,四半期,プライム（内国株式）
339,202202031520,44520,花王株式会社,通期,プライム（内国株式）
340,202202031530,94240,日本通信株式会社,四半期,プライム（内国株式）
341,202202031530,30280,株式会社アルペン,四半期,プライム（内国株式）
342,202202031530,34840,株式会社テンポイノベーション,四半期,プライム（内国株式）
343,202202031530,23720,株式会社 アイロムグループ,四半期,プライム（内国株式）
344,202202031600,54460,北越メタル株式会社,四半期,スタンダード（内国株式）
345,202202031600,93510,東洋埠頭株式会社,四半期,プライム（内国株式）
346,202202031600,23170,株式会社システナ,四半期,プライム（内国株式）
347,202202031600,38170,株式会社 ＳＲＡホールディングス,四半期,プライム（内国株式）
348,202202031700,98780,株式会社 セキド,四半期,スタンダード（内国株式）
349,202202041130,38020,株式会社 エコミック,四半期,スタンダード（内国株式）
350,202202041130,28010,キッコーマン株式会社,四半期,プライム（内国株式）
351,202202041130,42410,株式会社 アテクト,四半期,スタンダード（内国株式）
352,202202041300,57290,日本精鉱株式会社,四半期,スタンダード（内国株式）
353,202202041300,13320,日本水産株式会社,四半期,プライム（内国株式）
354,202202041330,72310,トピー工業株式会社,四半期,プライム（内国株式）
355,202202041400,42150,タキロンシーアイ株式会社,四半期,プライム（内国株式）
356,202202041400,59300,文化シヤッター株式会社,四半期,プライム（内国株式）
357,202202041400,84240,芙蓉総合リース株式会社,四半期,プライム（内国株式）
358,202202041400,80740,ユアサ商事株式会社,四半期,プライム（内国株式）
359,202202041400,15180,三井松島ホールディングス株式会社,四半期,プライム（内国株式）
360,202202041400,85660,リコーリース株式会社,四半期,プライム（内国株式）
361,202202041400,85110,日本証券金融株式会社,四半期,プライム（内国株式）
362,202202041430,80200,兼松株式会社,四半期,プライム（内国株式）
363,202202041440,98570,英和株式会社,四半期,スタンダード（内国株式）
364,202202041500,50130,ユシロ化学工業株式会社,四半期,スタンダード（内国株式）
365,202202041500,33950,株式会社 サンマルクホールディングス,四半期,プライム（内国株式）
366,202202041500,80060,ユアサ・フナショク株式会社,四半期,スタンダード（内国株式）
367,202202041500,39260,株式会社オープンドア,四半期,プライム（内国株式）
368,202202041500,23320,株式会社 クエスト,四半期,スタンダード（内国株式）
369,202202041500,83860,株式会社 百十四銀行,四半期,プライム（内国株式）
370,202202041500,77010,株式会社　島津製作所,四半期,プライム（内国株式）
371,202202041500,36390,株式会社ボルテージ,四半期,スタンダード（内国株式）
372,202202041500,69760,太陽誘電株式会社,四半期,プライム（内国株式）
373,202202041500,79550,クリナップ株式会社,四半期,プライム（内国株式）
374,202202041500,62030,豊和工業株式会社,四半期,プライム（内国株式）
375,202202041500,71670,株式会社　めぶきフィナンシャルグループ,四半期,プライム（内国株式）
376,202202041500,90670,株式会社 丸運,四半期,スタンダード（内国株式）
377,202202041500,88010,三井不動産,四半期,プライム（内国株式）
378,202202041500,93240,安田倉庫株式会社,四半期,プライム（内国株式）
